;Definiciones;;;;;;Contexto de aplicabilidad;;;;;;;;;
AP - 0188;Todos los archivos recibidos a través de una aplicación se deben almacenar en un repositorio independiente implementado solo para este propósito;Desarrollo funcional o no funcional;"Mitigar el compromiso del sistema por malware
Mitigar que a traves de una carga de archivos mál implementada se pueda modificar el comportamiento de la aplicación";;;;;x;;x;x;;;;x;
AP - 0189;Se debe usar solo las tecnologías definidas por ingeniería de software y que se reconozcan como seguras;Procedimiento definido e implementado;"Mitigar riesgos de seguridad asociados al uso de técnologias inseguras.
Mitigar riesgos de seguridad por vulnerabilidades no detectadas por sistemas automáticos afinados a tecnologias conocidas
Incentivar el uso de tecnologías avaladas por la organización";;;;x;x;x;x;x;x;x;x;x;
AP - 0190;No se debe usar el UDID o IMEI como mecanismo de autenticación de dispositivos móviles. Se debe crear un identificador basado en el hardware, que se calcule en cada transacción (identificador dinámico) y sumarle un identificador aleatorio negociado con el servidor (identificador estático);Desarrollo funcional o no funcional;Mitigar usar el IMEI de los dispositivos, que puede ser clonado o que en algunos casos puede ser el mismo para una misma gama de dispositivos.;;;;;;x;;;;;;;
AP - 0191;Del lado del cliente no se deben almacenar credenciales estáticas en ningún tipo de formato (código, archivos de configuración, base de datos, entre otros) que permitan acceder a otros sistemas.;Desarrollo funcional o no funcional;"Mitigar la suplantación de consumidores de un servicio
Insentivar el uso de controles de autenticación más seguros
Mitigar la falsa sensación de seguridad en servicios con autenticación basada en malas prácticas";;;;x;;x;x;x;;;;x;
AP - 0192;La aplicación debe solicitar al sistema operativo o navegador la menor cantidad de permisos posibles para su funcionamiento (Ej.: Manifiesto de Android o Info.plist en IOS);Desarrollo funcional o no funcional;"Mitigar que la aplicación tenga acceso a información que no requiere
Mitigar que el acceso a datos no necesarios conlleve a vulnerabilidades
Miti";;;;x;;x;;;;x;x;x;
AP - 0193;El código sensible de la aplicación debe ser cargado de forma aleatoria y no predecible en memoria (Ej.: Usando ASLR);Desarrollo funcional o no funcional;"Mitigar que el código o instrucciones críticas sean sobre escritas en ejecución
Mititar que se pueda acceder a datos en memoria con información crítica";;;;;x;;x;x;x;x;x;x;
AP - 0194;Las aplicaciones móviles del ambiente de producción no deben permitir su ejecución en modo depuración.;Desarrollo funcional o no funcional;"Mitigar la posiibilidad de realizar ingenieria inversa en la aplicación
Mitigar la posibilidad de usar la aplicación para explotar vulnerabilidades del servidor
Mitigar la automatización de ataques";;;;;;x;;;;;;;
AP - 0195;Las aplicaciones móviles no deben exportar activities, intents, o content providers sensible a otras aplicaciones móviles;Desarrollo funcional o no funcional;Evitar que otras aplicaciones móviles tengan acceso a información o funcionalidades sensibles de la aplicación;;;;;;x;;;;;;;
AP - 0196;Se debe garantizar que el mismo esquema de codificación es usado del lado del cliente y del lado del servidor.;Desarrollo funcional o no funcional;"Mitigar vulenrabilidades basadas en la codificación
Mitigar eventos de indidsponibilida del servicio";;;;x;x;x;x;x;x;;;x;
AP - 0197;Los servicios deben validar que el content-type de los datos de  entrada es el definido para el proceso.;Desarrollo funcional o no funcional;Evitar un comportamiento no controlado de la aplicación que pueda llevar a problemas de fuga de información, indisponibilidad o modificación no autorizada de datos.;;;;;x;;x;x;;;;;
AP - 0198;Si el framework de desarrollo permite el Automatic Variable Binding o asignación dinámica de variables en función al request, se deben tener listas blancas de las variables esperadas y no permitir la asignación de variables diferentes a las esperadas.;Desarrollo funcional o no funcional;Evitar un comportamiento no controlado de la aplicación que pueda llevar a problemas de fuga de información, indisponibilidad o modificación no autorizada de datos.;;;;x;x;x;x;x;;;;x;
AP - 0199;Se debe evaluar en el servidor que cada petición entrante que el número de parámetros con el mismo nombre recibidos cumpla con las definiciones de la aplicación. Ej.: En HTTP si llegan dos &var1 en el query y solo se espera uno, entonces el segundo se debe descartar.;Desarrollo funcional o no funcional;Evitar un comportamiento no controlado de la aplicación que pueda llevar a problemas de fuga de información, indisponibilidad o modificación no autorizada de datos.;;;;x;x;x;x;x;;;;x;
AP - 0200;"Se debe implementar la cabecera HTTP Strict Transport Security (HSTS) con la siguiente configuración:
Strict-Transport-Security: max-age=31536000; includeSubDomains; preload";Desarrollo funcional o no funcional;Obliga que el consumidor valide que la conexión HTTP sea por HTTPS ;;;;x;x;;x;x;;;;;
AP - 0201;"Una página Web debe protegerse de ser embebida en sitios maliciosos y para esto se debe implementar la cabecera HTTP X-Frame-Options con la siguiente configuración:
Por defecto: X-Frame-Options: deny
Si se va a embeber en el mismo dominio: X-Frame-Options: sameorigin
Si se va a embeber en otros dominios: X-Frame-Options: allow-from <dominios>";Desarrollo funcional o no funcional;Obliga a que el consumidor valide que el sitio web no fue cargado dentro de otro sitio;;;;x;x;;;;;;;;
AP - 0202;"Se debe implementar la cabecera X-XSS-Protection con la siguiente configuración:
X-XSS-Protection: 1; mode = block";Desarrollo funcional o no funcional;Mitigar vulnerabilidades de XSS que pueden llevar a fuga de información o robo de sesión entre otros.;;;;x;x;;;;;;;;
AP - 0203;"Se debe implementar la cabecera X-Content-Type-Options con la siguiente configuración:
X-Content-Type-Options: nosniff";Desarrollo funcional o no funcional;Mitigar vulnerabilidades de seguridad que pueden ser explotadas mediante la recepción de contenido desde el servidor que no esté autorizado;;;;x;x;;x;x;;;;;
AP - 0204;Se debe implementar la cabecera Content-Security-Policy y configurar con el contenido que se enviará por parte del servidor. Por defecto se debe habilitar default-src, y a partir de esta definir explícitamente el contenido.;Desarrollo funcional o no funcional;"Mitigar que la aplicación pueda consumir recursos externos
Mitigar que el navegador consuma recursos que no estén en sitios confiables
Mitiga ataques que se pueden dar al consumidor como XSS o cross-site injections.";;;;x;x;;;;;;;;
AP - 0205;"Se debe implementar la cabecera X-Permitted-Cross-Domain-Policies con la siguiente configuración:
X-Permitted-Cross-Domain-Policies: none";Desarrollo funcional o no funcional;Mitigar que la aplicación pueda intercambiar información entre recursos de diferentes dominios;;;;x;x;;x;x;;;;;
AP - 0206;Los servicios expuestos deben tener un control de Rate Limiting o Burst Limit que evite que se puedan ser consumidas de forma masiva.;Desarrollo funcional o no funcional;"Mitiga ataques de denegación de servicios
Mitiga ataques de fuga de información masivas
Mitiga la ejecución masiva de múltiples transacciones";;;;;;;x;x;;;;;
AP - 0207;Los sistemas que tengan SSO deben permitir que el usuario pueda visualizar una lista de las sesiones abiertas y poder cerrarlas.;Desarrollo funcional o no funcional;"Permitir que el usuario pueda cerrar las sesiones que desconozca
Mitigar el riesgo de suplantación del usuario
Permitir que el usuario pueda tener control sobre las sesiones que tiene abiertas";;;;;;;x;x;;;;;
AP - 0208;Los sistemas que tengan SSO deben permitir que el usuario pueda cerrar todas las sesiones activas en todas las aplicaciones ante un cambio de contraseña.;Desarrollo funcional o no funcional;Evitar que un atacante permanezca con la sesión abierta aun cuando se cambio la clave con la que se genero la sesion. Lo que puede mantener una suplantación de un usuario en el tiempo.;;;;;;;x;x;;;;;
AP - 0209;Se debe implementar cabeceras de CORS (Cross-Origin Resource Sharing) en los casos en que se exponen recursos de forma externa y se quieren limitar los dominios que pueden hacer su llamado.;Desarrollo funcional o no funcional;Mitigar el llamado a recursos estaticos y/o expuestos como contenido estatico. ;;;;x;x;;x;;;;;;
AP - 0210;Cuando se use OAUTH los tokens de acceso deben ser de más de 32 bits y los códigos de autorización deben ser OTPs con una longitud recomendada de 16 bits;Desarrollo funcional o no funcional;Mitigar ataques de secuestro de sesión y suplantación de usuarios;;;;x;x;x;x;x;;;;x;
